0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0






0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0






0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-30.9645,0.437062,0.775064,0.287453,0.0472651,0.125684,0.122843,0.00266812,0.319739,0.154198,0.22409,0.259748,-0.167674,0.333928,0.116195,0.0872598,0.167893,-0.0199646,-0.179733,-0.0718706
-26.5981,0.743852,0.130585,0.126678,0.20931,0.264418,0.236057,-0.00318594,0.292728,0.117264,-0.0942716,0.0076488,-0.0583935,0.0431641,-0.0362489,0.172019,-0.0946231,0.0498088,0.267668,0.0449017
-14.9466,1.05572,-1.40818,-0.229918,-2.06296,-0.72634,-1.21341,0.512353,0.370367,0.385168,0.459044,0.214782,0.00641342,-0.343775,-0.445784,-0.267234,-0.658887,0.0198295,0.128467,-0.10371
-12.141,1.83386,-0.540094,-0.0228047,-1.75685,-0.493485,-1.47874,0.383806,0.521252,0.343648,0.549317,0.0883943,0.213988,-0.318612,-0.358391,-0.157431,-0.659966,0.0296723,0.338006,-0.254761
-13.3641,1.95137,-0.578367,-0.386085,-1.60908,-0.014626,-1.71088,0.479309,0.844579,0.354664,0.763226,0.184669,0.112079,-0.199355,-0.251289,-0.275377,-0.26742,0.361345,0.295409,-0.141578
-15.0803,1.74945,-0.546978,-0.371337,-1.90321,-0.52833,-1.57501,0.263721,0.523152,0.525971,0.885789,0.252402,0.0477204,-0.269568,-0.304164,-0.294989,-0.371902,0.13138,0.47698,0.129673
-15.8856,2.21875,-0.246945,-0.113895,-1.70501,-0.502066,-1.3586,0.185467,0.282076,0.780569,1.10457,0.224187,0.0023615,-0.242758,-0.262941,-0.41928,-0.340499,0.375675,0.831681,0.174201
-16.7115,2.12646,-0.202903,0.235486,-1.77176,-0.487013,-1.40697,0.652503,0.718103,0.946086,1.1113,0.197249,-0.0714187,-0.481138,-0.45078,-0.554408,-0.561663,0.221076,0.976963,0.0916357
-17.0467,2.34264,-0.487491,-0.0364288,-1.83952,-0.67282,-1.66811,0.295982,0.799545,1.18138,0.942605,0.163914,-0.137099,-0.306803,-0.142061,-0.671388,-0.601651,0.10547,0.868528,0.131144
-17.2494,2.53233,-0.530354,-0.34565,-1.85044,-0.588714,-1.80006,0.460167,0.856985,0.883895,0.844061,0.19563,0.0218593,-0.196985,-0.17176,-0.49505,-0.654979,-0.0135482,0.94984,0.231418
-17.5815,2.44312,-0.799028,-0.484867,-2.00529,-0.659845,-1.69776,0.339731,0.695349,1.28897,0.89879,0.0280967,0.105648,-0.113228,-0.373745,-0.555393,-0.601957,0.148927,0.832277,0.0343285
-17.8136,2.62325,-0.513221,-0.0732181,-1.79318,-0.786898,-1.77769,0.19161,0.707832,1.23806,1.25256,0.410145,0.0235138,-0.209028,-0.118219,-0.615575,-0.562655,0.333417,0.98169,0.0696217
-17.6458,2.45238,-0.763051,-0.317031,-1.9977,-0.710967,-1.90062,0.278214,0.48892,0.851001,1.05088,0.0153332,-0.0281521,-0.232464,-0.337424,-0.389008,-0.754722,0.250288,0.910537,0.05666
